11/07/2018 16.23.34	VisualizzaDati_TabAllarmi errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.34	VisualizzaDati_TabQAL2QAL3 errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.34	VisualizzaDati_TabConfigurazione errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	VisualizzaDati_TabSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	VisualizzaDati_TabMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	VisualizzaDati_TabAllarmi errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	VisualizzaDati_TabQAL2QAL3 errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	VisualizzaDati_TabConfigurazione errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.35	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.35	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.36	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.36	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.36	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.36	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.37	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.37	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.37	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.37	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.38	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.38	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.38	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.38	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.39	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.39	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.39	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.39	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.40	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.40	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.40	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.40	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.41	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.41	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.41	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.41	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.42	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.23.42	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.42	VisualizzaDati_TabSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.42	VisualizzaDati_TabMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.42	VisualizzaDati_TabAllarmi errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.42	VisualizzaDati_TabQAL2QAL3 errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.42	VisualizzaDati_TabConfigurazione errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.42	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.23.42	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.43	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.23.43	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.43	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.23.43	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.44	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.44	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.44	VisualizzaDati_TabSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.44	VisualizzaDati_TabMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.44	VisualizzaDati_TabAllarmi errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.44	VisualizzaDati_TabQAL2QAL3 errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.44	VisualizzaDati_TabConfigurazione errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.44	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.44	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.45	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.45	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.45	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.45	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.46	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
